gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneid,regulation
ENSMUSG00000001467,27.5351450413373,-1.24559951549281,0.381993385560215,-3.2607881774342,0.00111103004778055,0.0699948930101744,Cyp51,down
ENSMUSG00000037379,34.0919126743026,-1.22383845461374,0.378266423178895,-3.23538749310282,0.00121477748561444,0.0754055259820376,Spon2,down
ENSMUSG00000004270,41.8017473418001,-0.973764278551853,0.305047279673153,-3.19217492971977,0.00141205786880997,0.0840885930685435,Lpcat3,down
ENSMUSG00000026687,34.953453638708,-1.06270173955019,0.332958840377939,-3.19169101605449,0.00141442551714442,0.0840885930685435,Aldh9a1,down
ENSMUSG00000050315,48.5026126697597,-0.925200199964364,0.292796877228999,-3.15987044916724,0.00157839304383932,0.0906448576604869,Synpo2,down
ENSMUSG00000058258,24.539169806165,-1.23282293300768,0.393013231627498,-3.13684841577081,0.00170774394840384,0.0974106379217918,Idi1,down
ENSMUSG00000028339,123.690900135702,-0.703996231844759,0.228186267247169,-3.08518229575226,0.00203427427634803,0.111515217148896,Col15a1,down
ENSMUSG00000021236,86.4701684939166,-0.712151921034625,0.231078987935181,-3.08185494232123,0.00205715057855704,0.111765080919889,Entpd5,down
ENSMUSG00000034926,18.260693613926,-1.42624510772328,0.462984880243286,-3.08054359566522,0.00206623103679607,0.111765080919889,Dhcr24,down
ENSMUSG00000048416,210.724822425245,-0.557509609978864,0.181748461511376,-3.06747911560159,0.00215872544681138,0.115341520392289,Mlf1,down
ENSMUSG00000000278,31.5279397028609,-1.07186595564701,0.35033741341123,-3.05952465998498,0.00221688536059041,0.116462511256835,Scpep1,down
ENSMUSG00000037568,32.6625124763331,-1.14274531059539,0.373573551764052,-3.0589566772038,0.00222109266907728,0.116462511256835,Vash2,down
ENSMUSG00000021978,86.8892834023966,-0.703859970505946,0.231605102005354,-3.03905209518949,0.00237323811751844,0.122163879195675,Extl3,down
ENSMUSG00000020326,191.05376210663,-0.518378578103078,0.170793536470469,-3.03511824168303,0.00240441402344036,0.12301856476293,Ccng1,down
ENSMUSG00000038375,569.047122573733,-0.413669580295035,0.136548573948978,-3.02946833007282,0.00244984587525756,0.124587945053761,Trp53inp2,down
ENSMUSG00000028944,138.539568160311,-0.58313857405035,0.192662496356434,-3.02673631390885,0.00247209504046169,0.124966624739986,Prkag2,down
ENSMUSG00000056698,18.9740645188106,-1.33885236511119,0.445025833577632,-3.00848234887387,0.00262556053373886,0.130382247210726,Elmod3,down
ENSMUSG00000030249,232.88818636128,-0.533255825286726,0.17760035977143,-3.00256050141465,0.00267718752471659,0.132168520957061,Abcc9,down
ENSMUSG00000003123,33.1007825942019,-1.02310246744106,0.345864635411885,-2.95810083682785,0.00309540847780882,0.149957126312274,Lipe,down
