"","V1","V2"
"202","Eci1","Crat"
"203","Hsd17b4","Crat"
"204","Hsd17b4","Crat"
"205","Echs1","Crat"
"206","Echs1","Crat"
"207","Acadl","Crat"
"208","Acadl","Crat"
"209","Ckb","Cat"
"210","Ckb","Cat"
"211","Gstm7","Cat"
"212","Gstm7","Cat"
"213","Gstm1","Cat"
"214","Gstm1","Cat"
"215","Gstm2","Cat"
"216","Gstm2","Cat"
"217","Acot2","Cat"
"218","Acot2","Cat"
"219","Dhrs4","Cat"
"220","Dhrs4","Cat"
"221","Hsd17b4","Cat"
"222","Hsd17b4","Cat"
"223","Gsto1","Cat"
"224","Gsto1","Cat"
"225","Echs1","Cat"
"226","Echs1","Cat"
"227","Hspd1","Cat"
"228","Hspd1","Cat"
"229","Acadl","Cat"
"230","Acadl","Cat"
"231","Aldh9a1","Cat"
"232","Aldh9a1","Cat"
"233","Crat","Cat"
"234","Crat","Cat"
"235","Ccnd2","Pcna"
"236","Ccnd2","Pcna"
"237","Uhrf1","Pcna"
"238","Uhrf1","Pcna"
"239","Dnmt1","Pcna"
"240","Dnmt1","Pcna"
"241","Ccng1","Pcna"
"242","Ccng1","Pcna"
"243","Mcm4","Pcna"
"244","Mcm4","Pcna"
"245","Cdkn1a","Pcna"
"246","Cdkn1a","Pcna"
"247","Mcm6","Pcna"
"248","Mcm6","Pcna"
"249","Angptl4","Fabp4"
"250","Angptl4","Fabp4"
"251","Lipe","Fabp4"
"252","Lipe","Fabp4"
"253","Lpl","Fabp4"
"254","Lpl","Fabp4"
"255","Acadsb","Fabp4"
"256","Acadsb","Fabp4"
"257","Pdk4","Fabp4"
"258","Pdk4","Fabp4"
"259","Eci1","Fabp4"
"260","Eci1","Fabp4"
"261","Hsd17b4","Fabp4"
"262","Hsd17b4","Fabp4"
"263","Cidea","Fabp4"
"264","Cidea","Fabp4"
"265","Cpt1a","Fabp4"
"266","Cpt1a","Fabp4"
"267","Acadl","Fabp4"
"268","Acadl","Fabp4"
"269","Etfb","Etfdh"
"270","Etfb","Etfdh"
"271","Acot2","Etfdh"
"272","Acot2","Etfdh"
"273","Eci1","Etfdh"
"274","Eci1","Etfdh"
"275","Hsd17b4","Etfdh"
"276","Hsd17b4","Etfdh"
"277","Echs1","Etfdh"
"278","Echs1","Etfdh"
"279","Acadl","Etfdh"
"280","Acadl","Etfdh"
"281","Ptp4a1","Lrrc39"
"282","Ptp4a1","Lrrc39"
"283","Etfb","Hadh"
"284","Etfb","Hadh"
"285","Acadsb","Hadh"
"286","Acadsb","Hadh"
"287","Eci1","Hadh"
"288","Eci1","Hadh"
"289","Hsd17b4","Hadh"
"290","Hsd17b4","Hadh"
"291","Cpt1a","Hadh"
"292","Cpt1a","Hadh"
"293","Echs1","Hadh"
"294","Echs1","Hadh"
"295","Acadl","Hadh"
"296","Acadl","Hadh"
"297","Aldh9a1","Hadh"
"298","Aldh9a1","Hadh"
"299","Crat","Hadh"
"300","Crat","Hadh"
"301","Etfdh","Hadh"
"302","Etfdh","Hadh"
"303","Hsd17b4","Abcd3"
"304","Hsd17b4","Abcd3"
"305","Cat","Abcd3"
"306","Cat","Abcd3"
"307","Lipe","Decr1"
"308","Lipe","Decr1"
"309","Etfb","Decr1"
"310","Etfb","Decr1"
"311","Dcakd","Decr1"
"312","Dcakd","Decr1"
"313","Acot2","Decr1"
"314","Acot2","Decr1"
"315","Eci1","Decr1"
"316","Eci1","Decr1"
"317","Hsd17b4","Decr1"
"318","Hsd17b4","Decr1"
"319","Echs1","Decr1"
"320","Echs1","Decr1"
"321","Acadl","Decr1"
"322","Acadl","Decr1"
"323","Crat","Decr1"
"324","Crat","Decr1"
"325","Etfdh","Decr1"
"326","Etfdh","Decr1"
"327","Hadh","Decr1"
"328","Hadh","Decr1"
"329","Etfb","Coq3"
"330","Etfb","Coq3"
"331","Etfdh","Coq3"
"332","Etfdh","Coq3"
"333","Ivns1abp","Pdlim5"
"334","Ivns1abp","Pdlim5"
"335","Etfb","Hsdl2"
"336","Etfb","Hsdl2"
"337","Dhrs4","Hsdl2"
"338","Dhrs4","Hsdl2"
"339","Eci1","Hsdl2"
"340","Eci1","Hsdl2"
"341","Hsd17b4","Hsdl2"
"342","Hsd17b4","Hsdl2"
"343","Echs1","Hsdl2"
"344","Echs1","Hsdl2"
"345","Acadl","Hsdl2"
"346","Acadl","Hsdl2"
"347","Crat","Hsdl2"
"348","Crat","Hsdl2"
"349","Cat","Hsdl2"
"350","Cat","Hsdl2"
"351","Etfdh","Hsdl2"
"352","Etfdh","Hsdl2"
"353","Abcd3","Hsdl2"
"354","Abcd3","Hsdl2"
"355","Decr1","Hsdl2"
"356","Decr1","Hsdl2"
"357","Angptl4","Cpt2"
"358","Angptl4","Cpt2"
"359","Lipe","Cpt2"
"360","Lipe","Cpt2"
"361","Etfb","Cpt2"
"362","Etfb","Cpt2"
"363","Lpl","Cpt2"
"364","Lpl","Cpt2"
"365","Acadsb","Cpt2"
"366","Acadsb","Cpt2"
"367","Pdk4","Cpt2"
"368","Pdk4","Cpt2"
"369","Acot2","Cpt2"
"370","Acot2","Cpt2"
"371","Eci1","Cpt2"
"372","Eci1","Cpt2"
"373","Hsd17b4","Cpt2"
"374","Hsd17b4","Cpt2"
"375","Cidea","Cpt2"
"376","Cidea","Cpt2"
"377","Cpt1a","Cpt2"
"378","Cpt1a","Cpt2"
"379","Echs1","Cpt2"
"380","Echs1","Cpt2"
"381","Acadl","Cpt2"
"382","Acadl","Cpt2"
"383","Aldh9a1","Cpt2"
"384","Aldh9a1","Cpt2"
"385","Crat","Cpt2"
"386","Crat","Cpt2"
"387","Cat","Cpt2"
"388","Cat","Cpt2"
"389","Fabp4","Cpt2"
"390","Fabp4","Cpt2"
"391","Etfdh","Cpt2"
"392","Etfdh","Cpt2"
"393","Hadh","Cpt2"
"394","Hadh","Cpt2"
"395","Abcd3","Cpt2"
"396","Abcd3","Cpt2"
"397","Decr1","Cpt2"
"398","Decr1","Cpt2"
"399","Hsdl2","Cpt2"
"400","Hsdl2","Cpt2"
"401","Calr","Slc2a1"
"402","Calr","Slc2a1"
"403","Ndrg1","Slc2a1"
"404","Ndrg1","Slc2a1"
"405","Slc38a2","Slc2a1"
"406","Slc38a2","Slc2a1"
"407","Lipe","Prkag2"
"408","Lipe","Prkag2"
"409","Prkaca","Prkag2"
"410","Prkaca","Prkag2"
"411","Plin3","Prkag2"
"412","Plin3","Prkag2"
"413","Baiap2","Prkag2"
"414","Baiap2","Prkag2"
"415","Ccnd2","Ccnl2"
"416","Ccnd2","Ccnl2"
"417","Ccng1","Ccnl2"
"418","Ccng1","Ccnl2"
"419","Ddit4","Klf15"
"420","Ddit4","Klf15"
"421","Calr","Gabarapl1"
"422","Calr","Gabarapl1"
"423","Prkaca","Gabarapl1"
"424","Prkaca","Gabarapl1"
"425","Fkbp10","Fkbp4"
"426","Fkbp10","Fkbp4"
"427","Clca1","Fkbp4"
"428","Clca1","Fkbp4"
"429","Calr","Mfge8"
"430","Calr","Mfge8"
"431","Mcm4","Smg1"
"432","Mcm4","Smg1"
"433","Lipe","Ucp3"
"434","Lipe","Ucp3"
"435","Lpl","Ucp3"
"436","Lpl","Ucp3"
"437","Pdk4","Ucp3"
"438","Pdk4","Ucp3"
"439","Acot2","Ucp3"
"440","Acot2","Ucp3"
"441","Cidea","Ucp3"
"442","Cidea","Ucp3"
"443","Cpt1a","Ucp3"
"444","Cpt1a","Ucp3"
"445","Echs1","Ucp3"
"446","Echs1","Ucp3"
"447","Acadl","Ucp3"
"448","Acadl","Ucp3"
"449","Fabp4","Ucp3"
"450","Fabp4","Ucp3"
"451","Cpt2","Ucp3"
"452","Cpt2","Ucp3"
"453","Lipe","Dgat2"
"454","Lipe","Dgat2"
"455","Lpcat3","Dgat2"
"456","Lpcat3","Dgat2"
"457","Lpl","Dgat2"
"458","Lpl","Dgat2"
"459","Pdk4","Dgat2"
"460","Pdk4","Dgat2"
"461","Plin3","Dgat2"
"462","Plin3","Dgat2"
"463","Plin5","Dgat2"
"464","Plin5","Dgat2"
"465","Srebf2","Dgat2"
"466","Srebf2","Dgat2"
"467","Eci1","Dgat2"
"468","Eci1","Dgat2"
"469","Cidea","Dgat2"
"470","Cidea","Dgat2"
"471","Cpt1a","Dgat2"
"472","Cpt1a","Dgat2"
"473","Scd2","Dgat2"
"474","Scd2","Dgat2"
"475","Echs1","Dgat2"
"476","Echs1","Dgat2"
"477","Acadl","Dgat2"
"478","Acadl","Dgat2"
"479","Fabp4","Dgat2"
"480","Fabp4","Dgat2"
"481","Cpt2","Dgat2"
"482","Cpt2","Dgat2"
"483","Ucp3","Dgat2"
"484","Ucp3","Dgat2"
"485","Acadsb","Bcat2"
"486","Acadsb","Bcat2"
"487","Gsto1","Bcat2"
"488","Gsto1","Bcat2"
"489","Acadl","Bcat2"
"490","Acadl","Bcat2"
"491","Hadh","Bcat2"
