gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneid,regulation
ENSMUSG00000013076,135.581510354132,1.01013209067377,0.215279307267243,4.69219314896726,2.70291758467891e-06,0.000465674086731823,Amotl1,up
ENSMUSG00000022270,254.081362295632,0.957034077170834,0.212927945573125,4.49463819600966,6.96883333895984e-06,0.00106966908378285,Fam134b,up
ENSMUSG00000044712,205.491303903857,0.818143359421254,0.181768447381625,4.50101968304516,6.76282422740279e-06,0.00106966908378285,Slc38a6,up
ENSMUSG00000021238,150.021836541469,1.02821865915089,0.229159767733099,4.48690740666334,7.22644615125343e-06,0.00107684655421193,Aldh6a1,up
ENSMUSG00000078566,142.87210091903,1.04000964039149,0.232046948973605,4.48189319011381,7.39837717890217e-06,0.00107684655421193,Bnip3,up
ENSMUSG00000086320,47.6737285956848,1.52474113724434,0.340054384160952,4.48381555499271,7.33200442637216e-06,0.00107684655421193,Gm12840,up
ENSMUSG00000023959,170.710544834904,0.972985303128455,0.220519321254642,4.41224513839725,1.02304186712578e-05,0.00146381685462302,Clic5,up
ENSMUSG00000015568,1173.32602877534,0.728417761901632,0.165534164117235,4.40040740705194,1.08047825435386e-05,0.00152023290387588,Lpl,up
ENSMUSG00000004328,63.6731921401622,1.59377041412411,0.363076152219136,4.38963122304485,1.13543046221758e-05,0.00154904806160059,Hif3a,up
ENSMUSG00000021870,241.600853877051,0.725670350628351,0.165330695094989,4.3892052241807,1.13765671427667e-05,0.00154904806160059,Slmap,up
ENSMUSG00000030711,46.2474786495323,1.50421733931622,0.346359632214456,4.34293491334134,1.40591795972645e-05,0.00182596298707856,Sult1a1,up
ENSMUSG00000030470,1092.69490357729,0.656279496657597,0.151843858405079,4.32206810042206,1.54573459757487e-05,0.00194762559294433,Csrp3,up
ENSMUSG00000031382,111.481470274262,1.0367932858691,0.24740199952523,4.19072314637203,2.78066788156267e-05,0.00335348546516458,Asb11,up
ENSMUSG00000058135,81.3523010091219,1.03918316013903,0.24910732850031,4.17162821501549,3.02430804293631e-05,0.00359594485893921,Gstm1,up
ENSMUSG00000022186,299.940257261603,0.666581440835573,0.160862219841195,4.14380356987258,3.41592368151372e-05,0.00395030516703272,Oxct1,up
ENSMUSG00000036181,91.1914252524877,0.998733520418492,0.241371379665709,4.13774624730448,3.50733947477861e-05,0.00400121079001095,Hist1h1c,up
ENSMUSG00000030772,180.802386731459,0.836243887932508,0.203824596638924,4.10276238355038,4.08246467184625e-05,0.00453475878417448,Dkk3,up
ENSMUSG00000055322,612.535023681787,0.659550144913627,0.165545497979238,3.98410197175127,6.77357841905821e-05,0.00733109602739608,Tns1,up
ENSMUSG00000020902,207.525912911625,0.745194103345231,0.188697123961665,3.94915453770575,7.84277089041016e-05,0.00825315737122978,Ntn1,up
ENSMUSG00000037820,455.765186843846,0.620767456434056,0.157328459845664,3.94567808674296,7.95744630083988e-05,0.00825315737122978,Tgm2,up
ENSMUSG00000028273,430.231378459735,0.683798538321648,0.174048096060304,3.92879068372414,8.5374109098106e-05,0.00868347263862904,Pdlim5,up
ENSMUSG00000030087,35.690601402374,1.62371254951531,0.415133196722402,3.91130500363495,9.17987559195594e-05,0.00922577496991572,Klf15,up
ENSMUSG00000048489,58.8152511257895,1.32706407820666,0.340414882001326,3.89837268689532,9.68412930689292e-05,0.00950621158241744,8430408G22Rik,up
ENSMUSG00000032495,52.1040690050153,1.21516417769425,0.322710828663406,3.76548931663426,0.000166223231238634,0.0158028365078327,Lrrc2,up
ENSMUSG00000096255,139.566622705541,0.718729219263298,0.193437523665319,3.71556255293479,0.000202752096696149,0.0186047086990097,Dynlt1b,up
ENSMUSG00000032263,50.3787218548919,1.07988043967794,0.291656605160787,3.70257494796873,0.000213422282995795,0.0192382128118296,Bckdhb,up
ENSMUSG00000038332,109.052931838404,1.02161685995318,0.275990624227642,3.70163610743,0.000214213693948352,0.0192382128118296,Sesn1,up
ENSMUSG00000040213,21.2671230372967,1.67958558399522,0.458436502061454,3.66372567725873,0.00024857300408251,0.0220889821101532,Ccbl2,up
ENSMUSG00000022462,470.108250108381,0.608113982694163,0.16661534828384,3.64980770954066,0.000262436692837534,0.0226070465401476,Slc38a2,up
ENSMUSG00000028645,41.6698350303908,1.1767538687662,0.322360230224334,3.65043128287655,0.000261800345631635,0.0226070465401476,Slc2a1,up
ENSMUSG00000026473,325.745600173135,1.45451765325384,0.405434584046419,3.58755200095933,0.000333797176149843,0.027900156050069,Glul,up
ENSMUSG00000027022,39.9557287877459,1.34246059779743,0.377311006090619,3.55796829704726,0.000373734407650902,0.0300482463751326,Xirp2,up
ENSMUSG00000023951,143.426230566089,0.897273182918751,0.252431955639861,3.55451504008023,0.000378676852635234,0.0301583961315721,Vegfa,up
ENSMUSG00000064373,430.625214974467,0.650490643258555,0.184850746505347,3.51900468651739,0.000433169055753615,0.0338593811914075,Sepp1,up
