"","V1","V2"
"200","Myom1","Nppa"
"201","Ankrd1","Nppb"
"202","Ankrd1","Nppb"
"203","Lrrc10","Nppb"
"204","Lrrc10","Nppb"
"205","Nppa","Nppb"
"206","Nppa","Nppb"
"207","Clca1","Acot11"
"208","Clca1","Acot11"
"209","Ndrg1","Sqstm1"
"210","Ndrg1","Sqstm1"
"211","Gabarapl1","Sqstm1"
"212","Gabarapl1","Sqstm1"
"213","Foxo3","Sqstm1"
"214","Foxo3","Sqstm1"
"215","Prnp","Sqstm1"
"216","Prnp","Sqstm1"
"217","Tgm2","Sqstm1"
"218","Tgm2","Sqstm1"
"219","Ckmt2","Myh7"
"220","Ckmt2","Myh7"
"221","Ankrd1","Myh7"
"222","Ankrd1","Myh7"
"223","Myom2","Myh7"
"224","Myom2","Myh7"
"225","Nppa","Myh7"
"226","Nppa","Myh7"
"227","Nppb","Myh7"
"228","Nppb","Myh7"
"229","Ndrg1","Bnip3"
"230","Ndrg1","Bnip3"
"231","Ddit4","Bnip3"
"232","Ddit4","Bnip3"
"233","Slc2a1","Bnip3"
"234","Slc2a1","Bnip3"
"235","Gabarapl1","Bnip3"
"236","Gabarapl1","Bnip3"
"237","Foxo3","Bnip3"
"238","Foxo3","Bnip3"
"239","Sqstm1","Bnip3"
"240","Sqstm1","Bnip3"
"241","Gstm1","Sult1a1"
"242","Gstm1","Sult1a1"
"243","Cdkn1a","Hif3a"
"244","Cdkn1a","Hif3a"
"245","Foxo3","Hif3a"
"246","Foxo3","Hif3a"
"247","Bnip3","Hif3a"
"248","Bnip3","Hif3a"
"249","Clca1","Serpinb6b"
"250","Clca1","Serpinb6b"
"251","Ly6c1","Serpinb6b"
"252","Ly6c1","Serpinb6b"
"253","Cxcl12","Serpinb6b"
"254","Cxcl12","Serpinb6b"
"255","Ccnl2","Srsf5"
"256","Ccnl2","Srsf5"
"257","Clk1","Srsf5"
"258","Clk1","Srsf5"
"259","Echs1","Oxct1"
"260","Echs1","Oxct1"
"261","Bcat2","Oxct1"
"262","Bcat2","Oxct1"
"263","Pcx","Oxct1"
"264","Pcx","Oxct1"
"265","Aldh6a1","Oxct1"
"266","Aldh6a1","Oxct1"
"267","Nrbp2","Mcf2l"
"268","Nrbp2","Mcf2l"
"269","Smg1","Clip1"
"270","Smg1","Clip1"
